tipo_delito,medio_utilizado,rango_edad_victima,genero_victima,region,hora_incidente,antivirus_activo,doble_factor,denuncia_formal,monto_afectado
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Lima,Manana,No,Si,No,2247.13
Suplantacion de Identidad,Llamada Telefonica,30-49,Masculino,Lima,Madrugada,No,No,No,2243.34
Estafa por Internet,WhatsApp o SMS,18-29,Femenino,Lambayeque,Tarde,No,No,Si,2241.75
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Tarde,No,No,No,2237.67
Fraude Informatico,Pagina Web Falsa,18-29,Masculino,Arequipa,Tarde,Si,No,Si,2235.33
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lambayeque,Tarde,No,Si,No,2233.29
Acceso Ilicito,Redes Sociales,18-29,Femenino,Callao,Tarde,No,No,Si,2232.41
Sextorsion,WhatsApp o SMS,18-29,Masculino,Cusco,Tarde,No,No,Si,2224.12
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Arequipa,Noche,No,Si,No,2222.06
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Tacna,Tarde,No,No,No,2216.59
Estafa por Internet,Pagina Web Falsa,18-29,Masculino,Lima,Tarde,No,No,No,2210.85
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Piura,Manana,No,No,Si,2208.23
Suplantacion de Identidad,Llamada Telefonica,30-49,Femenino,Lima,Tarde,No,Si,Si,2204.6
Acceso Ilicito,Redes Sociales,30-49,Masculino,Lambayeque,Noche,Si,No,No,2202.87
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Lima,Manana,Si,No,No,2201.52
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Lima,Manana,No,Si,Si,2199.39
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Arequipa,Noche,Si,No,No,2198.72
Estafa por Internet,Redes Sociales,50-64,Masculino,La Libertad,Manana,No,Si,Si,2198.69
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lima,Madrugada,Si,No,No,2193.14
Fraude Informatico,Pagina Web Falsa,18-29,Femenino,Arequipa,Madrugada,Si,No,Si,2183.13
Acceso Ilicito,Pagina Web Falsa,18-29,Femenino,Lima,Tarde,No,No,No,2176.66
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Callao,Manana,Si,No,No,2175.0
Acceso Ilicito,Correo Electronico,18-29,Masculino,La Libertad,Tarde,No,Si,No,2174.83
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Junin,Noche,No,Si,Si,2167.69
Estafa por Internet,Llamada Telefonica,30-49,Masculino,Callao,Noche,No,No,Si,2164.97
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Lima,Tarde,No,No,No,2164.85
Suplantacion de Identidad,WhatsApp o SMS,50-64,Femenino,Lima,Madrugada,No,Si,No,2164.66
Acceso Ilicito,Pagina Web Falsa,18-29,Masculino,Lima,Tarde,Si,No,No,2162.82
Estafa por Internet,Pagina Web Falsa,30-49,Masculino,Lambayeque,Tarde,No,No,No,2162.29
Estafa por Internet,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,No,No,2157.36
Estafa por Internet,Redes Sociales,18-29,Masculino,La Libertad,Noche,Si,No,Si,2152.34
Acceso Ilicito,Redes Sociales,50-64,Masculino,Puno,Tarde,Si,No,No,2150.19
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,Si,No,2144.1
Acceso Ilicito,WhatsApp o SMS,50-64,Masculino,Lima,Tarde,No,Si,No,2141.65
Acceso Ilicito,Correo Electronico,18-29,Femenino,Callao,Manana,No,Si,No,2140.09
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Cusco,Madrugada,No,No,Si,2137.99
Estafa por Internet,Pagina Web Falsa,50-64,Masculino,Lima,Noche,No,No,No,2132.1
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Noche,No,No,Si,2131.02
Suplantacion de Identidad,Correo Electronico,50-64,Femenino,Callao,Tarde,No,No,Si,2129.33
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,La Libertad,Manana,No,No,No,2125.42
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Arequipa,Madrugada,No,No,No,2122.88
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Piura,Madrugada,No,No,No,2122.22
Suplantacion de Identidad,Correo Electronico,18-29,Masculino,Lambayeque,Manana,No,No,No,2121.31
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,No,2119.1
Suplantacion de Identidad,Pagina Web Falsa,18-29,Femenino,Lima,Madrugada,No,Si,Si,2118.84
Acceso Ilicito,Redes Sociales,30-49,Masculino,La Libertad,Manana,No,Si,Si,2114.45
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lima,Tarde,No,No,Si,2112.75
Estafa por Internet,Pagina Web Falsa,30-49,Femenino,La Libertad,Noche,No,No,Si,2103.02
Suplantacion de Identidad,WhatsApp o SMS,18-29,Masculino,Arequipa,Madrugada,No,No,Si,2093.75
