tipo_delito,medio_utilizado,rango_edad_victima,genero_victima,region,hora_incidente,antivirus_activo,doble_factor,denuncia_formal,monto_afectado
Fraude Informatico,Redes Sociales,50-64,Masculino,Lima,Manana,No,No,Si,7958.17
Fraude Informatico,Pagina Web Falsa,30-49,Masculino,Lima,Tarde,No,Si,No,7951.99
Fraude Informatico,Pagina Web Falsa,18-29,Masculino,Lima,Manana,No,No,No,7933.62
Fraude Informatico,WhatsApp o SMS,30-49,Femenino,Lima,Tarde,No,Si,No,7917.42
Fraude Informatico,Redes Sociales,30-49,Femenino,Lima,Tarde,No,No,No,7909.51
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,La Libertad,Manana,Si,No,No,7908.45
Fraude Informatico,Redes Sociales,50-64,Femenino,Tacna,Manana,No,No,No,7898.35
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Manana,Si,No,No,7887.85
Fraude Informatico,Redes Sociales,18-29,Femenino,Lima,Madrugada,No,No,Si,7880.01
Fraude Informatico,Redes Sociales,65 o mas,Masculino,Lima,Manana,No,Si,No,7879.07
Fraude Informatico,WhatsApp o SMS,50-64,Masculino,Lima,Manana,Si,Si,Si,7871.65
Fraude Informatico,Pagina Web Falsa,18-29,Masculino,Lima,Manana,No,No,Si,7866.71
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Madrugada,Si,No,No,7857.33
Fraude Informatico,Correo Electronico,30-49,Femenino,Cusco,Manana,No,No,No,7814.04
Fraude Informatico,Pagina Web Falsa,30-49,Femenino,Lima,Tarde,No,No,No,7793.0
Fraude Informatico,Correo Electronico,30-49,Femenino,Cusco,Manana,No,Si,Si,7789.49
Fraude Informatico,Correo Electronico,65 o mas,Femenino,Lima,Madrugada,Si,Si,No,7780.72
Fraude Informatico,WhatsApp o SMS,65 o mas,Femenino,Lima,Noche,Si,Si,No,7697.8
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Madrugada,No,No,Si,7690.89
Fraude Informatico,Redes Sociales,30-49,Masculino,Cusco,Noche,Si,No,Si,7685.54
Fraude Informatico,Correo Electronico,18-29,Masculino,Lima,Madrugada,No,No,No,7682.72
Fraude Informatico,Redes Sociales,30-49,Femenino,Arequipa,Tarde,No,Si,No,7672.68
Fraude Informatico,WhatsApp o SMS,30-49,Femenino,Lima,Manana,Si,No,Si,7652.6
Fraude Informatico,Correo Electronico,30-49,Femenino,Lima,Noche,Si,Si,No,7645.29
Fraude Informatico,Llamada Telefonica,30-49,Femenino,Lima,Noche,No,No,No,7641.82
Sextorsion,Redes Sociales,50-64,Femenino,Lima,Noche,No,No,No,7632.33
