gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,some high school,standard,none,49,49,41
male,group B,some high school,free/reduced,completed,49,50,52
female,group B,associate's degree,standard,none,49,52,54
male,group A,bachelor's degree,free/reduced,completed,49,58,60
male,group C,associate's degree,free/reduced,none,49,51,51
female,group B,some high school,free/reduced,none,49,58,55
female,group A,some college,free/reduced,none,49,65,55
female,group B,high school,standard,none,48,62,60
female,group A,some high school,standard,none,48,66,65
male,group B,bachelor's degree,free/reduced,none,48,51,46
male,group B,associate's degree,standard,none,48,43,45
female,group D,some high school,free/reduced,none,48,54,53
female,group B,some college,free/reduced,completed,48,56,58
female,group C,some high school,free/reduced,none,48,56,51
male,group A,high school,free/reduced,none,48,45,41
female,group D,some high school,standard,none,48,58,54
female,group C,some high school,free/reduced,none,48,58,52
male,group B,some high school,free/reduced,none,48,52,45
female,group C,some high school,standard,none,47,54,53
female,group D,master's degree,free/reduced,completed,47,58,67
male,group A,associate's degree,free/reduced,none,47,57,44
male,group A,some high school,standard,completed,47,49,49
male,group B,high school,standard,none,47,46,42
female,group C,bachelor's degree,free/reduced,completed,47,62,66
male,group B,some college,standard,none,47,43,41
female,group D,associate's degree,free/reduced,none,47,53,58
male,group C,associate's degree,standard,none,47,37,35
female,group B,associate's degree,standard,none,47,49,50
female,group A,some high school,free/reduced,none,47,59,50
male,group E,associate's degree,free/reduced,none,46,43,41
female,group B,high school,free/reduced,completed,46,54,58
male,group D,high school,standard,none,46,34,36
male,group C,associate's degree,standard,none,46,43,42
female,group B,associate's degree,free/reduced,none,46,61,55
male,group E,associate's degree,free/reduced,completed,46,43,44
female,group C,associate's degree,standard,none,46,58,57
male,group A,some high school,standard,completed,46,41,43
female,group C,some college,free/reduced,none,46,64,66
female,group D,associate's degree,free/reduced,none,46,56,57
male,group C,master's degree,free/reduced,completed,46,42,46
male,group C,some high school,free/reduced,completed,45,52,49
female,group A,bachelor's degree,standard,none,45,59,64
female,group C,some college,free/reduced,completed,45,73,70
male,group D,some high school,free/reduced,none,45,37,37
female,group D,high school,standard,none,45,63,59
female,group B,some college,free/reduced,none,45,53,55
