,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
X1,0.0,0.862876,1.0,0.97486,0.923077,0.899666,0.895616,1.0,1.0,1.0
X2,0.862876,0.0,1.0,0.952514,0.881041,0.888476,0.912317,1.0,1.0,0.993355
X3,1.0,1.0,0.0,1.0,0.995444,0.98861,1.0,0.881549,0.983108,0.965831
X4,0.97486,0.952514,1.0,0.0,0.893855,0.935754,0.993737,1.0,1.0,0.972067
X5,0.923077,0.881041,0.995444,0.893855,0.0,0.808,0.954071,0.992574,1.0,0.956811
X6,0.899666,0.888476,0.98861,0.935754,0.808,0.0,0.939457,0.987624,1.0,0.966777
X7,0.895616,0.912317,1.0,0.993737,0.954071,0.939457,0.0,1.0,1.0,1.0
X8,1.0,1.0,0.881549,1.0,0.992574,0.987624,1.0,0.0,0.994369,0.94802
X9,1.0,1.0,0.983108,1.0,1.0,1.0,1.0,0.994369,0.0,1.0
X10,1.0,0.993355,0.965831,0.972067,0.956811,0.966777,1.0,0.94802,1.0,0.0
