Variable,Nombre,Grado_Best,Grado_Worst,Diferencia_D,Abs_Diferencia
Tutoring_Sessions,Tutoring_Sessions,2.908532,0.930137,-1.978395,1.9783950000000001
Extracurricular_Activities,Extracurricular_Acti…,2.729942,0.868304,-1.861638,1.861638
Teacher_Quality,Teacher_Quality,0.826748,2.681707,1.854959,1.8549589999999998
Physical_Activity,Physical_Activity,0.930779,1.923834,0.993055,0.993055
Hours_Studied,Hours_Studied,2.967652,3.952923,0.985271,0.985271
Learning_Disabilities,Learning_Disabilitie…,2.577228,3.548236,0.971008,0.9710080000000003
Internet_Access,Internet_Access,0.788546,1.747773,0.959227,0.959227
School_Type,School_Type,2.771314,1.846612,-0.924702,0.9247019999999999
Access_to_Resources,Access_to_Resources,2.446764,1.601732,-0.845032,0.845032
Parental_Involvement,Parental_Involvement,1.800298,2.614321,0.814023,0.8140229999999999
Family_Income,Family_Income,1.62676,0.813411,-0.813349,0.813349
Motivation_Level,Motivation_Level,1.733836,1.618606,-0.11523,0.11522999999999994
Distance_from_Home,Distance_from_Home,0.928444,0.936137,0.007693,0.00769299999999995
Previous_Scores,Previous_Scores,0.937878,0.945198,0.00732,0.007319999999999993
Sleep_Hours,Sleep_Hours,0.988623,0.983894,-0.004729,0.004728999999999983
Gender,Gender,0.922581,0.91828,-0.004301,0.004300999999999999
Attendance,Attendance,1.9164,1.92053,0.00413,0.004129999999999967
Peer_Influence,Peer_Influence,0.93601,0.938158,0.002148,0.0021480000000000388
Parental_Education_Level,Parental_Education_L…,1.870765,1.870863,9.8e-05,9.799999999993148e-05
