X1_sexo,X2_zona,X3_ciclo,X4_ingreso_familiar,X5_trabaja,X6_beca,X7_educ_jefe,X8_tam_familiar,X9_asistencia,X10_cursos_desaprobados,X11_promedio_final
Femenino,Urbana,9,3074.26,No,No,Superior universitaria,7,100.0,0,18.36
Femenino,Urbana,6,1842.19,No,Sí,Superior técnica,3,100.0,0,18.03
Femenino,Urbana,1,6016.48,No,No,Superior universitaria,4,95.5,0,17.92
Masculino,Urbana,3,3337.64,No,No,Superior universitaria,6,96.1,0,17.9
Masculino,Urbana,8,8210.92,No,No,Superior universitaria,4,98.4,0,17.87
Femenino,Urbana,3,1610.26,No,No,Superior universitaria,2,100.0,0,17.77
Masculino,Urbana,8,3466.53,No,No,Superior universitaria,2,98.7,0,17.73
Femenino,Urbana,2,1170.88,No,No,Superior universitaria,7,87.7,0,17.72
Femenino,Urbana,6,1532.11,No,No,Superior universitaria,4,100.0,0,17.7
Femenino,Urbana,1,4135.56,No,No,Superior universitaria,3,94.9,0,17.66
Femenino,Urbana,10,5830.91,No,Sí,Superior universitaria,8,98.0,0,17.62
Masculino,Rural,6,920.46,No,Sí,Superior técnica,5,100.0,0,17.57
Masculino,Urbana,10,2079.23,Sí,No,Superior universitaria,2,80.6,0,17.56
Femenino,Urbana,5,3079.07,No,No,Superior universitaria,5,92.5,0,17.53
Masculino,Urbana,7,2587.98,No,No,Superior universitaria,6,100.0,0,17.49
Masculino,Urbana,7,1474.45,No,Sí,Superior técnica,4,98.8,1,17.48
Femenino,Urbana,6,1922.83,No,Sí,Secundaria,3,91.0,0,17.47
Femenino,Urbana,1,1209.73,No,Sí,Primaria,4,99.9,0,17.45
Femenino,Urbana,1,3396.75,No,No,Superior universitaria,4,92.6,0,17.44
Femenino,Urbana,1,4530.69,No,No,Secundaria,3,97.3,0,17.44
Femenino,Rural,3,1401.0,No,No,Superior universitaria,8,97.6,0,17.41
Masculino,Urbana,4,2926.36,No,No,Superior universitaria,5,95.5,0,17.41
Femenino,Rural,9,2664.89,No,No,Superior universitaria,7,92.0,0,17.4
Femenino,Urbana,2,1995.81,No,No,Superior técnica,4,92.5,0,17.39
Masculino,Rural,6,2269.81,No,Sí,Superior universitaria,10,100.0,0,17.39
Masculino,Urbana,2,3516.86,No,No,Secundaria,3,99.5,1,17.37
Masculino,Urbana,3,2870.33,No,No,Superior universitaria,4,98.4,0,17.37
Femenino,Urbana,2,4319.9,No,No,Secundaria,6,96.3,0,17.35
Femenino,Urbana,5,1454.82,No,No,Superior técnica,3,94.9,0,17.34
Femenino,Urbana,1,2956.34,No,No,Superior universitaria,6,100.0,1,17.32
Masculino,Urbana,4,1469.33,No,No,Superior universitaria,2,93.4,0,17.32
Masculino,Urbana,3,1405.27,No,No,Superior universitaria,2,97.5,1,17.31
Femenino,Urbana,6,4324.09,No,No,Secundaria,2,95.5,0,17.31
Masculino,Rural,4,1204.02,No,No,Superior universitaria,4,97.8,0,17.29
Femenino,Urbana,6,3304.51,No,No,Superior universitaria,1,90.6,0,17.26
Femenino,Rural,9,1394.53,No,Sí,Secundaria,5,91.3,0,17.26
Femenino,Urbana,1,1910.03,No,No,Superior universitaria,3,96.5,0,17.25
Femenino,Urbana,7,3357.45,No,No,Superior universitaria,4,93.0,1,17.23
Masculino,Urbana,4,3691.24,No,No,Superior universitaria,8,91.5,0,17.23
Femenino,Urbana,8,1150.07,No,Sí,Superior universitaria,6,97.2,0,17.22
Masculino,Urbana,8,6440.17,No,No,Superior universitaria,3,91.5,0,17.22
Masculino,Urbana,7,4507.73,No,No,Superior universitaria,4,86.9,0,17.2
Masculino,Urbana,3,1130.67,No,No,Superior universitaria,9,92.3,1,17.19
Masculino,Rural,5,408.67,No,Sí,Secundaria,4,97.1,0,17.19
Femenino,Urbana,7,7055.85,No,No,Superior universitaria,9,100.0,0,17.18
Masculino,Urbana,10,3806.29,No,No,Superior técnica,3,100.0,0,17.18
Femenino,Urbana,8,3667.35,No,No,Superior universitaria,4,87.2,0,17.18
Masculino,Rural,8,1442.96,No,No,Superior universitaria,6,97.7,0,17.18
Masculino,Urbana,6,2847.89,No,No,Superior universitaria,2,94.3,0,17.15
Femenino,Urbana,8,3589.68,No,No,Superior universitaria,5,90.0,0,17.14
Femenino,Urbana,2,2596.27,No,No,Superior universitaria,1,100.0,0,17.14
